"RS Stock No,""Quantity"",""Cost Centre"",""Description"",""Manufacturer Part. No."",""Manufacturer name"",""Unit Price"",""Total Price""";;;;;;;;;;;;;;
"2478147,10,,""Murata 4.7μF MLCC, 100V dc V, SMD"",""GRM31CC72A475KE11L"",""Murata"",4.425,44.25";;;;;;;;;;;;;;ok
"2427439,3,,""TDK 22μF Multilayer Ceramic Capacitor MLCC, 100V dc V, SMD"",""C5750X7S2A226M280KB"",""TDK"",49.67,149.01";;;;;;;;;;;;;;nej
"7883054,10,,""TDK 1μF Multilayer Ceramic Capacitor MLCC, 100V dc V, ±10% , SMD"",""C2012X7S2A105K125AB"",""TDK"",2.218,22.18";;;;;;;;;;;;;;ok
"2421239,100,,""Wurth Elektronik 10nF Multilayer Ceramic Capacitor MLCC, 250V dc V, SMD"",""885342207010"",""Wurth Elektronik"",0.481,48.1";;;;;;;;;;;;;;nej
"7409066,50,,""Bourns 0Ω, 0805 (2012M) Thick Film SMD Resistor ±5% 0.125W - CR0805-J/-000ELF"",""CR0805-J/-000ELF"",""Bourns"",0.115,5.75";;;;;;;;;;;;;;ok
"8098875,5,,""Arcol 470Ω Wire Wound SMD Resistor ±1% 5W - RWS5 470R F B"",""RWS5 470R F B"",""Arcol"",6.98,34.9";;;;;;;;;;;;;;ok
"6788942,50,,""Vishay 1.8MΩ, 0402 (1005M) Thick Film SMD Resistor ±1% 0.063W - CRCW04021M80FKED"",""CRCW04021M80FKED"",""Vishay"",0.166,8.3";;;;;;;;;;;;;;ok
"6789440,50,,""Vishay 560kΩ, 0402 (1005M) Thick Film SMD Resistor ±1% 0.063W - CRCW0402560KFKED"",""CRCW0402560KFKED"",""Vishay"",0.035,1.75";;;;;;;;;;;;;;ok
